"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.456468600E-1,-1.939500123E-1,4.605000094E-2,9.847950935E0
4.481471690E-1,-2.250000089E-1,3.405000269E-2,9.826950073E0
4.506474770E-1,-2.320500165E-1,5.805000290E-2,9.835950851E0
4.531478600E-1,-2.200500071E-1,5.295000225E-2,9.834000587E0
4.556481690E-1,-2.250000089E-1,3.705000132E-2,9.855000496E0
4.581487060E-1,-2.299500108E-1,5.100000277E-2,9.853050232E0
4.606490160E-1,-2.250000089E-1,4.395000264E-2,9.846000671E0
4.631493740E-1,-2.370000184E-1,4.095000029E-2,9.846000671E0
4.656496840E-1,-2.440500110E-1,4.905000329E-2,9.841050148E0
4.681499920E-1,-2.350500077E-1,5.805000290E-2,9.850950241E0
4.706505280E-1,-2.419500053E-1,4.905000329E-2,9.838950157E0
4.731509150E-1,-2.320500165E-1,3.705000132E-2,9.834000587E0
4.756511500E-1,-2.110500038E-1,6.300000101E-2,9.841050148E0
4.781515330E-1,-2.440500110E-1,5.805000290E-2,9.841050148E0
4.806518430E-1,-2.370000184E-1,7.304999977E-2,9.838950157E0
4.831523790E-1,-2.280000150E-1,5.805000290E-2,9.838950157E0
4.856527040E-1,-2.400000095E-1,4.605000094E-2,9.838950157E0
4.881530870E-1,-2.299500108E-1,6.495000422E-2,9.843000412E0
4.906533960E-1,-2.230500132E-1,6.105000153E-2,9.841050148E0
4.931539330E-1,-2.419500053E-1,5.595000088E-2,9.835950851E0
4.956542460E-1,-2.250000089E-1,5.295000225E-2,9.847950935E0
4.981545540E-1,-2.400000095E-1,5.595000088E-2,9.843000412E0
5.006549370E-1,-2.280000150E-1,6.495000422E-2,9.841050148E0
5.031552460E-1,-2.470500171E-1,6.105000153E-2,9.846000671E0
5.056557690E-1,-2.470500171E-1,5.595000088E-2,9.835950851E0
5.081560790E-1,-2.490000129E-1,4.395000264E-2,9.841050148E0
5.106564610E-1,-2.590500116E-1,6.105000153E-2,9.847950935E0
5.131567710E-1,-2.659500241E-1,6.300000101E-2,9.829050064E0
5.156570930E-1,-2.639999986E-1,5.595000088E-2,9.843000412E0
5.181574000E-1,-2.520000041E-1,6.300000101E-2,9.859950066E0
5.206579370E-1,-2.470500171E-1,5.100000277E-2,9.834000587E0
5.231582460E-1,-2.490000129E-1,7.995000482E-2,9.841050148E0
5.256586290E-1,-2.470500171E-1,6.495000422E-2,9.850950241E0
5.281589440E-1,-2.470500171E-1,6.495000422E-2,9.834000587E0
5.306594800E-1,-2.320500165E-1,6.300000101E-2,9.835950851E0
5.331597900E-1,-2.370000184E-1,6.300000101E-2,9.843000412E0
5.356601730E-1,-2.400000095E-1,7.304999977E-2,9.846000671E0
5.381604820E-1,-2.610000074E-1,7.005000114E-2,9.843000412E0
5.406607900E-1,-2.490000129E-1,7.005000114E-2,9.862950325E0
5.431613260E-1,-2.400000095E-1,6.495000422E-2,9.838950157E0
5.456616360E-1,-2.419500053E-1,7.995000482E-2,9.831000328E0
5.481620330E-1,-2.400000095E-1,7.005000114E-2,9.853050232E0
5.506623420E-1,-2.419500053E-1,6.495000422E-2,9.847950935E0
5.531628790E-1,-2.370000184E-1,6.795000285E-2,9.841050148E0
5.556631890E-1,-2.440500110E-1,4.905000329E-2,9.843000412E0
5.581635710E-1,-2.560500205E-1,5.805000290E-2,9.835950851E0
5.606638770E-1,-2.440500110E-1,6.795000285E-2,9.850950241E0
5.631641850E-1,-2.200500071E-1,4.605000094E-2,9.838950157E0
5.656644920E-1,-2.370000184E-1,6.795000285E-2,9.858000755E0
5.681650290E-1,-2.350500077E-1,7.304999977E-2,9.835950851E0
5.706653340E-1,-2.370000184E-1,7.695000619E-2,9.847950935E0
5.731657160E-1,-2.320500165E-1,7.304999977E-2,9.843000412E0
5.756660260E-1,-2.280000150E-1,7.995000482E-2,9.843000412E0
5.781665620E-1,-2.370000184E-1,7.005000114E-2,9.850950241E0
5.806668570E-1,-2.200500071E-1,5.805000290E-2,9.847950935E0
5.831671650E-1,-2.089500129E-1,6.795000285E-2,9.843000412E0
5.856675470E-1,-2.059500068E-1,7.695000619E-2,9.841050148E0
5.881678570E-1,-2.040000111E-1,7.695000619E-2,9.841050148E0
5.906683980E-1,-2.230500132E-1,4.395000264E-2,9.847950935E0
5.931687080E-1,-2.130000144E-1,5.805000290E-2,9.817050934E0
5.956690910E-1,-2.130000144E-1,6.795000285E-2,9.835950851E0
5.981694010E-1,-2.200500071E-1,5.100000277E-2,9.841050148E0
6.006699370E-1,-2.200500071E-1,5.295000225E-2,9.843000412E0
6.031702470E-1,-2.280000150E-1,6.105000153E-2,9.841050148E0
6.056705540E-1,-2.200500071E-1,6.300000101E-2,9.843000412E0
6.081709370E-1,-1.969500035E-1,5.805000290E-2,9.838950157E0
6.106712470E-1,-2.130000144E-1,6.795000285E-2,9.847950935E0
6.131717830E-1,-2.200500071E-1,7.500000298E-2,9.843000412E0
6.156720930E-1,-2.110500038E-1,6.300000101E-2,9.850950241E0
6.181724750E-1,-1.990500093E-1,6.300000101E-2,9.850950241E0
6.206727850E-1,-1.990500093E-1,4.905000329E-2,9.841050148E0
6.231733220E-1,-2.040000111E-1,6.300000101E-2,9.847950935E0
6.256736310E-1,-2.059500068E-1,7.500000298E-2,9.843000412E0
6.281739390E-1,-2.110500038E-1,5.805000290E-2,9.841050148E0
6.306742470E-1,-1.920000017E-1,6.495000422E-2,9.859950066E0
6.331746290E-1,-2.059500068E-1,7.005000114E-2,9.838950157E0
6.356749580E-1,-1.890000105E-1,5.295000225E-2,9.841050148E0
6.381754950E-1,-1.870500147E-1,7.005000114E-2,9.834000587E0
6.406758040E-1,-2.040000111E-1,5.100000277E-2,9.838950157E0
6.431761870E-1,-2.179500163E-1,6.105000153E-2,9.850950241E0
6.456764830E-1,-2.010000050E-1,6.795000285E-2,9.846000671E0
6.481767900E-1,-1.939500123E-1,6.495000422E-2,9.847950935E0
6.506773270E-1,-2.089500129E-1,5.595000088E-2,9.850950241E0
6.531776360E-1,-1.969500035E-1,5.595000088E-2,9.843000412E0
6.556779950E-1,-2.010000050E-1,5.100000277E-2,9.841050148E0
6.581783050E-1,-2.059500068E-1,5.595000088E-2,9.858000755E0
6.606788410E-1,-2.160000056E-1,6.300000101E-2,9.865050316E0
6.631791510E-1,-2.089500129E-1,5.295000225E-2,9.847950935E0
6.656795390E-1,-2.059500068E-1,4.395000264E-2,9.846000671E0
6.681798480E-1,-2.059500068E-1,7.304999977E-2,9.835950851E0
6.706801560E-1,-1.890000105E-1,5.295000225E-2,9.835950851E0
6.731804640E-1,-1.920000017E-1,6.495000422E-2,9.846000671E0
6.756810000E-1,-1.969500035E-1,5.100000277E-2,9.843000412E0
6.781813100E-1,-2.040000111E-1,7.695000619E-2,9.850950241E0
6.806816920E-1,-2.089500129E-1,6.105000153E-2,9.838950157E0
6.831820020E-1,-1.939500123E-1,5.295000225E-2,9.846000671E0
6.856825390E-1,-1.870500147E-1,6.795000285E-2,9.843000412E0
6.881828520E-1,-2.130000144E-1,6.495000422E-2,9.838950157E0
6.906831600E-1,-2.040000111E-1,5.100000277E-2,9.853050232E0
6.931835430E-1,-2.059500068E-1,5.805000290E-2,9.853050232E0
6.956838520E-1,-2.299500108E-1,5.295000225E-2,9.846000671E0
6.981843990E-1,-2.059500068E-1,6.300000101E-2,9.838950157E0
7.006847080E-1,-2.179500163E-1,5.295000225E-2,9.850950241E0
7.031850910E-1,-2.059500068E-1,6.300000101E-2,9.847950935E0
7.056854010E-1,-2.130000144E-1,5.100000277E-2,9.847950935E0
7.081859420E-1,-2.110500038E-1,5.595000088E-2,9.850950241E0
7.106862520E-1,-2.250000089E-1,5.100000277E-2,9.850950241E0
7.131865600E-1,-2.419500053E-1,6.795000285E-2,9.850950241E0
7.156869420E-1,-2.160000056E-1,5.295000225E-2,9.862950325E0
7.181872280E-1,-2.200500071E-1,5.100000277E-2,9.846000671E0
7.206877640E-1,-2.250000089E-1,6.105000153E-2,9.835950851E0
7.231880740E-1,-2.059500068E-1,6.105000153E-2,9.846000671E0
7.256883820E-1,-2.230500132E-1,7.500000298E-2,9.841050148E0
7.281887680E-1,-2.230500132E-1,6.300000101E-2,9.853050232E0
7.306890780E-1,-2.280000150E-1,6.495000422E-2,9.835950851E0
7.331896150E-1,-2.299500108E-1,5.805000290E-2,9.846000671E0
7.356899240E-1,-2.350500077E-1,6.300000101E-2,9.853050232E0
7.381902280E-1,-2.440500110E-1,6.300000101E-2,9.843000412E0
7.406906110E-1,-2.280000150E-1,5.100000277E-2,9.847950935E0
7.431909200E-1,-2.370000184E-1,6.300000101E-2,9.871950150E0
7.456914570E-1,-2.400000095E-1,5.295000225E-2,9.843000412E0
7.481917750E-1,-2.490000129E-1,7.500000298E-2,9.846000671E0
7.506921580E-1,-2.440500110E-1,7.005000114E-2,9.843000412E0
7.531924680E-1,-2.440500110E-1,4.605000094E-2,9.846000671E0
7.556927750E-1,-2.560500205E-1,5.595000088E-2,9.838950157E0
7.581930830E-1,-2.320500165E-1,4.905000329E-2,9.843000412E0
7.606936150E-1,-2.280000150E-1,4.605000094E-2,9.843000412E0
7.631939240E-1,-2.590500116E-1,4.905000329E-2,9.841050148E0
7.656943070E-1,-2.470500171E-1,4.905000329E-2,9.843000412E0
7.681948450E-1,-2.440500110E-1,6.105000153E-2,9.850950241E0
7.706951360E-1,-2.470500171E-1,6.795000285E-2,9.847950935E0
7.731954440E-1,-2.320500165E-1,6.495000422E-2,9.843000412E0
7.756958260E-1,-2.590500116E-1,6.300000101E-2,9.853050232E0
7.781961360E-1,-2.470500171E-1,7.500000298E-2,9.853050232E0
7.806966830E-1,-2.520000041E-1,6.495000422E-2,9.841050148E0
7.831969920E-1,-2.490000129E-1,7.995000482E-2,9.846000671E0
7.856973750E-1,-2.710500062E-1,4.395000264E-2,9.846000671E0
7.881976850E-1,-2.590500116E-1,7.695000619E-2,9.855000496E0
7.906980010E-1,-2.590500116E-1,7.500000298E-2,9.846000671E0
7.931985380E-1,-2.680500150E-1,6.105000153E-2,9.853050232E0
7.956988480E-1,-2.659500241E-1,4.905000329E-2,9.847950935E0
7.981992300E-1,-2.370000184E-1,4.905000329E-2,9.841050148E0
8.006995400E-1,-2.560500205E-1,5.295000225E-2,9.846000671E0
8.031998290E-1,-2.639999986E-1,3.900000080E-2,9.846000671E0
8.057003650E-1,-2.680500150E-1,5.100000277E-2,9.838950157E0
8.082006750E-1,-2.440500110E-1,5.805000290E-2,9.838950157E0
8.107010570E-1,-2.440500110E-1,4.605000094E-2,9.843000412E0
8.132013720E-1,-2.350500077E-1,4.095000029E-2,9.850950241E0
8.157016800E-1,-2.419500053E-1,5.805000290E-2,9.841050148E0
8.182022160E-1,-2.490000129E-1,4.605000094E-2,9.846000671E0
8.207025260E-1,-2.299500108E-1,5.100000277E-2,9.843000412E0
8.232028190E-1,-2.370000184E-1,6.300000101E-2,9.835950851E0
8.257032010E-1,-2.370000184E-1,4.905000329E-2,9.835950851E0
8.282035110E-1,-2.280000150E-1,5.100000277E-2,9.826950073E0
8.307040470E-1,-2.179500163E-1,6.105000153E-2,9.853050232E0
