"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.421291120E-1,3.019500077E-1,-2.100000158E-2,9.826950073E0
6.446296490E-1,3.360000253E-1,-3.299999982E-2,9.829050064E0
6.471300350E-1,2.550000250E-1,-4.500000179E-2,9.862950325E0
6.496305680E-1,2.449500114E-1,-4.005000368E-2,9.862950325E0
6.521309550E-1,2.760000229E-1,-1.800000109E-2,9.834000587E0
6.546314910E-1,2.809500098E-1,-4.050000105E-3,9.834000587E0
6.571318780E-1,2.779500186E-1,0.000000000E0,9.846000671E0
6.596324090E-1,2.760000229E-1,-4.005000368E-2,9.820050240E0
6.621327960E-1,2.760000229E-1,-1.095000096E-2,9.834000587E0
6.646333320E-1,3.070500195E-1,1.395000052E-2,9.858000755E0
6.671337190E-1,3.550500274E-1,2.400000021E-2,9.859950066E0
6.696342690E-1,3.550500274E-1,-1.050000079E-3,9.820050240E0
6.721346560E-1,2.860500216E-1,-2.295000106E-2,9.829050064E0
6.746351920E-1,2.280000150E-1,-1.800000109E-2,9.829050064E0
6.771355020E-1,2.620500028E-1,-1.050000079E-3,9.841050148E0
6.796359090E-1,3.169500232E-1,1.395000052E-2,9.825000763E0
6.821364470E-1,3.120000064E-1,-1.050000079E-3,9.844050407E0
6.846368340E-1,2.260500044E-1,-3.000000119E-2,9.853050232E0
6.871373700E-1,1.800000072E-1,-3.705000132E-2,9.841050148E0
6.896377570E-1,1.710000038E-1,-1.800000109E-2,9.841050148E0
6.921383030E-1,1.710000038E-1,-1.095000096E-2,9.853050232E0
6.946386900E-1,1.639500111E-1,-2.505000122E-2,9.844050407E0
6.971389980E-1,1.729500145E-1,-9.000000544E-3,9.825000763E0
6.996396110E-1,1.540500075E-1,-1.605000161E-2,9.847950935E0
7.021399160E-1,1.440000087E-1,-6.000000052E-3,9.877050400E0
7.046405290E-1,1.990500093E-1,0.000000000E0,9.826950073E0
7.071408390E-1,1.729500145E-1,1.950000064E-3,9.822000504E0
7.096414520E-1,1.200000048E-1,1.395000052E-2,9.835950851E0
7.121417620E-1,1.090500057E-1,1.395000052E-2,9.846000671E0
7.146422790E-1,1.759500057E-1,3.299999982E-2,9.817050934E0
7.171426660E-1,2.230500132E-1,3.600000218E-2,9.826950073E0
7.196432020E-1,1.900500059E-1,3.299999982E-2,9.846000671E0
7.221435890E-1,1.469999999E-1,1.905000024E-2,9.846000671E0
7.246441260E-1,1.060500070E-1,1.695000008E-2,9.825000763E0
7.271445490E-1,7.995000482E-2,2.400000021E-2,9.853050232E0
7.296448570E-1,9.405000508E-2,2.895000204E-2,9.859950066E0
7.321453930E-1,1.180500090E-1,2.895000204E-2,9.835950851E0
7.346457800E-1,9.405000508E-2,1.200000010E-2,9.826950073E0
7.371463210E-1,3.405000269E-2,2.400000021E-2,9.862950325E0
7.396467080E-1,3.000000026E-3,1.905000024E-2,9.868050575E0
7.421472450E-1,4.605000094E-2,3.299999982E-2,9.822000504E0
7.446476310E-1,3.195000067E-2,0.000000000E0,9.832050323E0
7.471481730E-1,-3.195000067E-2,1.695000008E-2,9.856050491E0
7.496484820E-1,-3.405000269E-2,2.205000073E-2,9.870000839E0
7.521490960E-1,3.195000067E-2,6.900000572E-2,9.832050323E0
7.546494050E-1,5.595000088E-2,6.495000422E-2,9.834000587E0
7.571500380E-1,4.605000094E-2,3.299999982E-2,9.871950150E0
7.596504240E-1,3.705000132E-2,1.395000052E-2,9.844050407E0
7.621509610E-1,-1.050000079E-3,4.305000231E-2,9.825000763E0
7.646512710E-1,-4.395000264E-2,5.700000376E-2,9.846000671E0
7.671516530E-1,6.000000052E-3,8.400000632E-2,9.874950409E0
7.696521630E-1,7.005000114E-2,7.200000435E-2,9.814950943E0
7.721525490E-1,4.905000329E-2,7.905000448E-2,9.829050064E0
7.746530860E-1,-4.950000439E-3,6.900000572E-2,9.870000839E0
7.771534720E-1,-1.005000062E-2,6.195000187E-2,9.853050232E0
7.796539960E-1,3.000000026E-3,7.200000435E-2,9.814950943E0
7.821543820E-1,-2.505000122E-2,6.195000187E-2,9.826950073E0
7.846546900E-1,-4.905000329E-2,4.095000029E-2,9.856050491E0
7.871552270E-1,-2.205000073E-2,4.095000029E-2,9.844050407E0
7.896556130E-1,6.000000052E-3,7.395000011E-2,9.841050148E0
7.921561500E-1,-2.700000070E-2,5.505000427E-2,9.868050575E0
7.946565360E-1,-3.900000080E-2,6.195000187E-2,9.862950325E0
7.971570730E-1,-1.695000008E-2,4.800000042E-2,9.829050064E0
7.996574540E-1,-5.295000225E-2,3.105000220E-2,9.841050148E0
8.021579910E-1,-5.295000225E-2,4.500000179E-2,9.859950066E0
8.046583770E-1,6.000000052E-3,7.695000619E-2,9.846000671E0
8.071589140E-1,4.395000264E-2,8.595000207E-2,9.814950943E0
8.096593010E-1,2.205000073E-2,7.695000619E-2,9.846000671E0
8.121596210E-1,-7.950000465E-3,6.495000422E-2,9.886950493E0
8.146602350E-1,3.705000132E-2,4.995000362E-2,9.822000504E0
8.171605440E-1,3.705000132E-2,3.105000220E-2,9.820050240E0
8.196611580E-1,3.900000080E-2,1.395000052E-2,9.835950851E0
8.221614670E-1,3.405000269E-2,1.395000052E-2,9.865050316E0
8.246619850E-1,3.705000132E-2,1.695000008E-2,9.826950073E0
8.271623720E-1,4.605000094E-2,2.595000155E-2,9.829050064E0
8.296629080E-1,2.700000070E-2,4.950000439E-3,9.877050400E0
8.321632950E-1,4.905000329E-2,-4.005000368E-2,9.853050232E0
8.346638260E-1,3.705000132E-2,-6.795000285E-2,9.822000504E0
8.371642130E-1,3.705000132E-2,-6.795000285E-2,9.825000763E0
8.396647490E-1,3.195000067E-2,-6.599999964E-2,9.883950233E0
8.421650590E-1,1.009500027E-1,-4.905000329E-2,9.844050407E0
8.446656820E-1,1.159500033E-1,-9.000000358E-2,9.825000763E0
8.471659920E-1,8.895000070E-2,-1.000500023E-1,9.853050232E0
8.496666050E-1,1.039500013E-1,-7.995000482E-2,9.874950409E0
8.521669150E-1,1.300500035E-1,-6.105000153E-2,9.835950851E0
8.546672900E-1,1.230000034E-1,-4.005000368E-2,9.820050240E0
8.571678260E-1,1.440000087E-1,-6.795000285E-2,9.856050491E0
8.596682130E-1,1.639500111E-1,-4.695000127E-2,9.838950157E0
8.621687490E-1,2.020500153E-1,-4.500000179E-2,9.829050064E0
8.646691120E-1,1.800000072E-1,-3.495000303E-2,9.858000755E0
8.671696480E-1,1.759500057E-1,-3.705000132E-2,9.868050575E0
8.696700350E-1,2.040000111E-1,-7.095000148E-2,9.826950073E0
8.721705710E-1,2.260500044E-1,-7.800000161E-2,9.808050156E0
8.746709050E-1,2.110500038E-1,-7.995000482E-2,9.859950066E0
8.771712880E-1,2.040000111E-1,-5.205000192E-2,9.865050316E0
8.796718260E-1,2.449500114E-1,-3.299999982E-2,9.820050240E0
8.821722130E-1,2.400000095E-1,-4.695000127E-2,9.826950073E0
8.846727590E-1,2.280000150E-1,-5.205000192E-2,9.862950325E0
8.871731460E-1,2.569500208E-1,-3.705000132E-2,9.847950935E0
